"","cd_mun","cases","year_month"
"1",150010,0,"2021-12"
"2",150080,0.19,"2021-12"
"3",150110,0,"2021-12"
"4",150120,0,"2021-12"
"5",150130,0,"2021-12"
"6",150140,0.2,"2021-12"
"7",150150,0,"2021-12"
"8",150178,0,"2021-12"
"9",150210,0,"2021-12"
"10",150309,2.4,"2021-12"
"11",150330,9.47,"2021-12"
"12",150380,0,"2021-12"
"13",150400,0,"2021-12"
"14",150442,0,"2021-12"
"15",150460,0,"2021-12"
"16",150470,0,"2021-12"
"17",150506,0,"2021-12"
"18",150520,0,"2021-12"
"19",150635,0,"2021-12"
"20",150795,0,"2021-12"
"21",150810,0.86,"2021-12"
"22",150010,0,"2021-11"
"23",150080,0,"2021-11"
"24",150110,0,"2021-11"
"25",150120,0,"2021-11"
"26",150130,0,"2021-11"
"27",150140,1.26,"2021-11"
"28",150150,0,"2021-11"
"29",150178,0,"2021-11"
"30",150210,0.71,"2021-11"
"31",150309,0,"2021-11"
"32",150330,11.05,"2021-11"
"33",150380,0,"2021-11"
"34",150400,0,"2021-11"
"35",150442,0,"2021-11"
"36",150460,0,"2021-11"
"37",150470,0,"2021-11"
"38",150506,0,"2021-11"
"39",150520,0,"2021-11"
"40",150635,0,"2021-11"
"41",150795,0,"2021-11"
"42",150810,0,"2021-11"
"43",150010,0,"2021-10"
"44",150080,0.56,"2021-10"
"45",150110,0,"2021-10"
"46",150120,0,"2021-10"
"47",150130,0,"2021-10"
"48",150140,1.53,"2021-10"
"49",150150,0,"2021-10"
"50",150178,0,"2021-10"
"51",150210,0,"2021-10"
"52",150309,0,"2021-10"
"53",150330,15.78,"2021-10"
"54",150380,0,"2021-10"
"55",150400,0,"2021-10"
"56",150442,0,"2021-10"
"57",150460,0,"2021-10"
"58",150470,0,"2021-10"
"59",150506,0,"2021-10"
"60",150520,0,"2021-10"
"61",150635,0,"2021-10"
"62",150795,0,"2021-10"
"63",150810,0,"2021-10"
"64",150010,0,"2021-09"
"65",150080,0,"2021-09"
"66",150110,0,"2021-09"
"67",150120,0,"2021-09"
"68",150130,0.77,"2021-09"
"69",150140,1.19,"2021-09"
"70",150150,0,"2021-09"
