"cd_mun","date","dengue"
150010,"2020-01-06",0
150080,"2020-01-06",0
150110,"2020-01-06",0
150120,"2020-01-06",0
150130,"2020-01-06",0
150140,"2020-01-06",0.53
150150,"2020-01-06",0
150178,"2020-01-06",1.49
150210,"2020-01-06",0
150309,"2020-01-06",0
150330,"2020-01-06",0
150380,"2020-01-06",0
150400,"2020-01-06",0
150442,"2020-01-06",0
150460,"2020-01-06",3.17
150470,"2020-01-06",0
150506,"2020-01-06",0
150520,"2020-01-06",0
150635,"2020-01-06",0
150795,"2020-01-06",0
150810,"2020-01-06",0
150010,"2020-01-13",0.63
150080,"2020-01-13",0
150110,"2020-01-13",0
150120,"2020-01-13",0
150130,"2020-01-13",0
150140,"2020-01-13",0.87
150150,"2020-01-13",0
150178,"2020-01-13",0
150210,"2020-01-13",0.72
150309,"2020-01-13",0
150330,"2020-01-13",0
150380,"2020-01-13",0
150400,"2020-01-13",0
150442,"2020-01-13",0
150460,"2020-01-13",3.17
150470,"2020-01-13",0
150506,"2020-01-13",1.3
150520,"2020-01-13",0
150635,"2020-01-13",0
150795,"2020-01-13",0
150810,"2020-01-13",0
150010,"2020-01-20",0
150080,"2020-01-20",0
150110,"2020-01-20",0
150120,"2020-01-20",0
150130,"2020-01-20",0
150140,"2020-01-20",0.8
150150,"2020-01-20",0
150178,"2020-01-20",0
150210,"2020-01-20",0.72
150309,"2020-01-20",0
150330,"2020-01-20",0
150380,"2020-01-20",0
150400,"2020-01-20",0
150442,"2020-01-20",0
150460,"2020-01-20",0
150470,"2020-01-20",0
150506,"2020-01-20",0
150520,"2020-01-20",0
150635,"2020-01-20",0
150795,"2020-01-20",0
150810,"2020-01-20",0.87
150010,"2020-01-27",0
150080,"2020-01-27",0
150110,"2020-01-27",0
150120,"2020-01-27",0
150130,"2020-01-27",0
150140,"2020-01-27",0.93
150150,"2020-01-27",0
150178,"2020-01-27",0
150210,"2020-01-27",0
150309,"2020-01-27",0
150330,"2020-01-27",0
150380,"2020-01-27",0
150400,"2020-01-27",0
150442,"2020-01-27",0.75
150460,"2020-01-27",0
150470,"2020-01-27",0
150506,"2020-01-27",0
150520,"2020-01-27",0
150635,"2020-01-27",0
150795,"2020-01-27",0
150810,"2020-01-27",0
150010,"2020-02-03",0.63
150080,"2020-02-03",0
150110,"2020-02-03",0
150120,"2020-02-03",0
150130,"2020-02-03",0
150140,"2020-02-03",1
150150,"2020-02-03",0
150178,"2020-02-03",0
150210,"2020-02-03",0
150309,"2020-02-03",0
150330,"2020-02-03",0
150380,"2020-02-03",0
150400,"2020-02-03",0
150442,"2020-02-03",0
150460,"2020-02-03",0
150470,"2020-02-03",0
150506,"2020-02-03",5.18
150520,"2020-02-03",0
150635,"2020-02-03",0
150795,"2020-02-03",0
150810,"2020-02-03",0
150010,"2020-02-10",0
150080,"2020-02-10",0
150110,"2020-02-10",0
150120,"2020-02-10",0
150130,"2020-02-10",0
150140,"2020-02-10",0.6
150150,"2020-02-10",0
150178,"2020-02-10",0
150210,"2020-02-10",1.44
150309,"2020-02-10",0
150330,"2020-02-10",0
150380,"2020-02-10",0
150400,"2020-02-10",0
150442,"2020-02-10",0
150460,"2020-02-10",0
150470,"2020-02-10",0
150506,"2020-02-10",3.89
150520,"2020-02-10",0
150635,"2020-02-10",0
150795,"2020-02-10",0
150810,"2020-02-10",0
150010,"2020-02-17",0.63
150080,"2020-02-17",0
150110,"2020-02-17",0
150120,"2020-02-17",0
150130,"2020-02-17",0
150140,"2020-02-17",1.33
150150,"2020-02-17",0
150178,"2020-02-17",0
150210,"2020-02-17",0
150309,"2020-02-17",0
150330,"2020-02-17",1.59
150380,"2020-02-17",0
150400,"2020-02-17",0
150442,"2020-02-17",0
150460,"2020-02-17",0
150470,"2020-02-17",1.2
150506,"2020-02-17",5.18
150520,"2020-02-17",0
150635,"2020-02-17",0
150795,"2020-02-17",0
150810,"2020-02-17",0
150010,"2020-02-24",0.63
150080,"2020-02-24",0
150110,"2020-02-24",0
150120,"2020-02-24",0
150130,"2020-02-24",0.79
150140,"2020-02-24",0.67
150150,"2020-02-24",0
150178,"2020-02-24",0
150210,"2020-02-24",2.15
150309,"2020-02-24",0
150330,"2020-02-24",1.59
150380,"2020-02-24",0
150400,"2020-02-24",0
150442,"2020-02-24",0
150460,"2020-02-24",0
150470,"2020-02-24",1.2
150506,"2020-02-24",3.89
150520,"2020-02-24",0
150635,"2020-02-24",0
150795,"2020-02-24",0
150810,"2020-02-24",0.87
150010,"2020-03-02",0.63
150080,"2020-03-02",0
150110,"2020-03-02",0
150120,"2020-03-02",0
150130,"2020-03-02",0
150140,"2020-03-02",0.47
150150,"2020-03-02",0
150178,"2020-03-02",0
150210,"2020-03-02",2.15
150309,"2020-03-02",0
150330,"2020-03-02",0
150380,"2020-03-02",0
150400,"2020-03-02",0
150442,"2020-03-02",0
150460,"2020-03-02",3.17
150470,"2020-03-02",0
150506,"2020-03-02",0
150520,"2020-03-02",0
150635,"2020-03-02",0
150795,"2020-03-02",0
150810,"2020-03-02",0
150010,"2020-03-09",0.63
150080,"2020-03-09",0
150110,"2020-03-09",0
150120,"2020-03-09",0
150130,"2020-03-09",0
150140,"2020-03-09",0.47
150150,"2020-03-09",0
150178,"2020-03-09",0
150210,"2020-03-09",0.72
150309,"2020-03-09",0
150330,"2020-03-09",0
150380,"2020-03-09",0
150400,"2020-03-09",0
150442,"2020-03-09",0
150460,"2020-03-09",9.51
150470,"2020-03-09",0
150506,"2020-03-09",1.3
150520,"2020-03-09",0
150635,"2020-03-09",0
150795,"2020-03-09",0
150810,"2020-03-09",0.87
150010,"2020-03-16",0
150080,"2020-03-16",0
150110,"2020-03-16",0
