"","cd_mun","nm_mun","UF","precipitation","year_month"
"1",1500107,"Abaetetuba","PA",20.3836460113525,"2019-12"
"2",1500800,"Ananindeua","PA",25.5760154724121,"2019-12"
"3",1501105,"Bagre","PA",62.071346282959,"2019-12"
"4",1501204,"Baião","PA",94.5364303588867,"2019-12"
"5",1501303,"Barcarena","PA",19.5469188690186,"2019-12"
"6",1501402,"Belém","PA",19.6166439056396,"2019-12"
"7",1501501,"Benevides","PA",25.0042514801025,"2019-12"
"8",1501782,"Breu Branco","PA",63.9911727905273,"2019-12"
"9",1502103,"Cametá","PA",28.857852935791,"2019-12"
"10",1503093,"Goianésia do Pará","PA",40.4372520446777,"2019-12"
"11",1503309,"Igarapé-Miri","PA",24.7764739990234,"2019-12"
"12",1503804,"Jacundá","PA",32.7811813354492,"2019-12"
"13",1504000,"Limoeiro do Ajuru","PA",20.9042778015137,"2019-12"
"14",1504422,"Marituba","PA",25.5760154724121,"2019-12"
"15",1504604,"Mocajuba","PA",30.814868927002,"2019-12"
"16",1504703,"Moju","PA",94.0390396118164,"2019-12"
"17",1505064,"Novo Repartimento","PA",112.479614257812,"2019-12"
"18",1505205,"Oeiras do Pará","PA",29.3877811431885,"2019-12"
"19",1506351,"Santa Bárbara do Pará","PA",25.0739765167236,"2019-12"
"20",1507953,"Tailândia","PA",76.7512893676758,"2019-12"
"21",1508100,"Tucuruí","PA",107.352325439453,"2019-12"
"22",1500107,"Abaetetuba","PA",17.754695892334,"2019-11"
"23",1500800,"Ananindeua","PA",18.4424667358398,"2019-11"
"24",1501105,"Bagre","PA",79.7857513427734,"2019-11"
"25",1501204,"Baião","PA",44.4546661376953,"2019-11"
"26",1501303,"Barcarena","PA",20.25954246521,"2019-11"
"27",1501402,"Belém","PA",7.52727746963501,"2019-11"
"28",1501501,"Benevides","PA",17.1263618469238,"2019-11"
"29",1501782,"Breu Branco","PA",40.1072731018066,"2019-11"
"30",1502103,"Cametá","PA",36.9401245117188,"2019-11"
"31",1503093,"Goianésia do Pará","PA",31.1535053253174,"2019-11"
"32",1503309,"Igarapé-Miri","PA",27.0565929412842,"2019-11"
"33",1503804,"Jacundá","PA",19.0198554992676,"2019-11"
"34",1504000,"Limoeiro do Ajuru","PA",24.2927703857422,"2019-11"
"35",1504422,"Marituba","PA",18.4424667358398,"2019-11"
"36",1504604,"Mocajuba","PA",41.8988723754883,"2019-11"
"37",1504703,"Moju","PA",106.07389831543,"2019-11"
"38",1505064,"Novo Repartimento","PA",58.4053916931152,"2019-11"
"39",1505205,"Oeiras do Pará","PA",46.4627876281738,"2019-11"
"40",1506351,"Santa Bárbara do Pará","PA",9.44624519348145,"2019-11"
"41",1507953,"Tailândia","PA",133.453155517578,"2019-11"
"42",1508100,"Tucuruí","PA",34.0871467590332,"2019-11"
"43",1500107,"Abaetetuba","PA",9.19122219085693,"2019-10"
"44",1500800,"Ananindeua","PA",16.3996200561523,"2019-10"
"45",1501105,"Bagre","PA",6.04486417770386,"2019-10"
"46",1501204,"Baião","PA",6.31337213516235,"2019-10"
"47",1501303,"Barcarena","PA",5.50096416473389,"2019-10"
"48",1501402,"Belém","PA",13.315224647522,"2019-10"
"49",1501501,"Benevides","PA",17.5975780487061,"2019-10"
"50",1501782,"Breu Branco","PA",9.98986148834229,"2019-10"
"51",1502103,"Cametá","PA",5.46653985977173,"2019-10"
"52",1503093,"Goianésia do Pará","PA",9.43907642364502,"2019-10"
"53",1503309,"Igarapé-Miri","PA",4.62659311294556,"2019-10"
"54",1503804,"Jacundá","PA",12.4408540725708,"2019-10"
"55",1504000,"Limoeiro do Ajuru","PA",4.57839965820312,"2019-10"
"56",1504422,"Marituba","PA",17.5975780487061,"2019-10"
"57",1504604,"Mocajuba","PA",6.00355529785156,"2019-10"
"58",1504703,"Moju","PA",10.3685264587402,"2019-10"
"59",1505064,"Novo Repartimento","PA",43.9870567321777,"2019-10"
"60",1505205,"Oeiras do Pará","PA",6.45106840133667,"2019-10"
"61",1506351,"Santa Bárbara do Pará","PA",18.6096439361572,"2019-10"
"62",1507953,"Tailândia","PA",8.4407787322998,"2019-10"
"63",1508100,"Tucuruí","PA",9.48038482666016,"2019-10"
"64",1500107,"Abaetetuba","PA",4.02403736114502,"2019-09"
"65",1500800,"Ananindeua","PA",18.2103958129883,"2019-09"
"66",1501105,"Bagre","PA",5.23682451248169,"2019-09"
"67",1501204,"Baião","PA",5.53421306610107,"2019-09"
"68",1501303,"Barcarena","PA",5.97564888000488,"2019-09"
"69",1501402,"Belém","PA",16.9000263214111,"2019-09"
"70",1501501,"Benevides","PA",15.8777532577515,"2019-09"
"71",1501782,"Breu Branco","PA",3.44784712791443,"2019-09"
"72",1502103,"Cametá","PA",5.39945840835571,"2019-09"
"73",1503093,"Goianésia do Pará","PA",2.71366930007935,"2019-09"
"74",1503309,"Igarapé-Miri","PA",4.90690898895264,"2019-09"
"75",1503804,"Jacundá","PA",1.6124027967453,"2019-09"
