"cd_mun","nm_mun","precipitation","date"
"1500107","Abaetetuba",21.7457904815674,"2020-12-27"
"1500800","Ananindeua",15.4680500030518,"2020-12-27"
"1501105","Bagre",26.0622615814209,"2020-12-27"
"1501204","Baião",17.8190593719482,"2020-12-27"
"1501303","Barcarena",13.8210859298706,"2020-12-27"
"1501402","Belém",14.9400157928467,"2020-12-27"
"1501501","Benevides",13.2092370986938,"2020-12-27"
"1501782","Breu Branco",21.9637107849121,"2020-12-27"
"1502103","Cametá",32.2142791748047,"2020-12-27"
"1503093","Goianésia do Pará",24.1428985595703,"2020-12-27"
"1503309","Igarapé-Miri",34.7454872131348,"2020-12-27"
"1503804","Jacundá",18.5049209594727,"2020-12-27"
"1504000","Limoeiro do Ajuru",24.9349498748779,"2020-12-27"
"1504422","Marituba",15.4680500030518,"2020-12-27"
"1504604","Mocajuba",31.4389915466309,"2020-12-27"
"1504703","Moju",31.8245410919189,"2020-12-27"
"1505064","Novo Repartimento",22.1557350158691,"2020-12-27"
"1505205","Oeiras do Pará",25.8569145202637,"2020-12-27"
"1506351","Santa Bárbara do Pará",13.4648723602295,"2020-12-27"
"1507953","Tailândia",21.3057613372803,"2020-12-27"
"1508100","Tucuruí",16.5249729156494,"2020-12-27"
"1500107","Abaetetuba",9.64889907836914,"2020-12-20"
"1500800","Ananindeua",8.17961406707764,"2020-12-20"
"1501105","Bagre",18.7557754516602,"2020-12-20"
"1501204","Baião",9.44284057617188,"2020-12-20"
"1501303","Barcarena",8.01387214660645,"2020-12-20"
"1501402","Belém",6.41916084289551,"2020-12-20"
"1501501","Benevides",10.5134468078613,"2020-12-20"
"1501782","Breu Branco",17.2909698486328,"2020-12-20"
"1502103","Cametá",8.99936771392822,"2020-12-20"
"1503093","Goianésia do Pará",19.6651210784912,"2020-12-20"
"1503309","Igarapé-Miri",7.85708904266357,"2020-12-20"
"1503804","Jacundá",19.6248035430908,"2020-12-20"
"1504000","Limoeiro do Ajuru",6.18622541427612,"2020-12-20"
"1504422","Marituba",10.5134468078613,"2020-12-20"
"1504604","Mocajuba",7.69582557678223,"2020-12-20"
"1504703","Moju",13.5416069030762,"2020-12-20"
"1505064","Novo Repartimento",16.2606792449951,"2020-12-20"
"1505205","Oeiras do Pará",10.9569206237793,"2020-12-20"
"1506351","Santa Bárbara do Pará",10.4596929550171,"2020-12-20"
"1507953","Tailândia",15.7410535812378,"2020-12-20"
"1508100","Tucuruí",11.6646862030029,"2020-12-20"
"1500107","Abaetetuba",10.2133188247681,"2020-12-13"
"1500800","Ananindeua",18.2003135681152,"2020-12-13"
"1501105","Bagre",21.3091049194336,"2020-12-13"
"1501204","Baião",23.6698150634766,"2020-12-13"
"1501303","Barcarena",13.3131523132324,"2020-12-13"
"1501402","Belém",13.0712566375732,"2020-12-13"
"1501501","Benevides",15.7948083877563,"2020-12-13"
"1501782","Breu Branco",19.6203231811523,"2020-12-13"
"1502103","Cametá",21.725700378418,"2020-12-13"
"1503093","Goianésia do Pará",15.9695091247559,"2020-12-13"
"1503309","Igarapé-Miri",19.9876441955566,"2020-12-13"
"1503804","Jacundá",19.5620899200439,"2020-12-13"
"1504000","Limoeiro do Ajuru",10.1595649719238,"2020-12-13"
"1504422","Marituba",18.2003135681152,"2020-12-13"
"1504604","Mocajuba",22.0079116821289,"2020-12-13"
"1504703","Moju",19.8756561279297,"2020-12-13"
"1505064","Novo Repartimento",18.845365524292,"2020-12-13"
"1505205","Oeiras do Pará",23.9385871887207,"2020-12-13"
"1506351","Santa Bárbara do Pará",17.2103385925293,"2020-12-13"
"1507953","Tailândia",17.8374729156494,"2020-12-13"
"1508100","Tucuruí",18.5004425048828,"2020-12-13"
"1500107","Abaetetuba",12.5157957077026,"2020-12-06"
"1500800","Ananindeua",10.6433534622192,"2020-12-06"
"1501105","Bagre",15.9023180007935,"2020-12-06"
"1501204","Baião",19.8890953063965,"2020-12-06"
"1501303","Barcarena",10.862850189209,"2020-12-06"
"1501402","Belém",9.08895778656006,"2020-12-06"
"1501501","Benevides",10.9793176651001,"2020-12-06"
"1501782","Breu Branco",15.9336738586426,"2020-12-06"
"1502103","Cametá",15.1855936050415,"2020-12-06"
"1503093","Goianésia do Pará",13.0981349945068,"2020-12-06"
"1503309","Igarapé-Miri",13.5505657196045,"2020-12-06"
"1503804","Jacundá",10.0296583175659,"2020-12-06"
"1504000","Limoeiro do Ajuru",14.8630676269531,"2020-12-06"
"1504422","Marituba",10.9793176651001,"2020-12-06"
"1504604","Mocajuba",15.266224861145,"2020-12-06"
"1504703","Moju",20.0503578186035,"2020-12-06"
"1505064","Novo Repartimento",16.0411834716797,"2020-12-06"
"1505205","Oeiras do Pará",14.8720264434814,"2020-12-06"
"1506351","Santa Bárbara do Pará",10.2043609619141,"2020-12-06"
"1507953","Tailândia",15.6738605499268,"2020-12-06"
"1508100","Tucuruí",16.9012508392334,"2020-12-06"
"1500107","Abaetetuba",7.67325305938721,"2020-11-29"
