"","cd_mun","nm_mun","UF","temperature","year_month"
"1",1500107,"Abaetetuba","PA",33.7570388793945,"2019-12"
"2",1500800,"Ananindeua","PA",33.1574020385742,"2019-12"
"3",1501105,"Bagre","PA",33.5934820736156,"2019-12"
"4",1501204,"Baião","PA",33.6905517578125,"2019-12"
"5",1501303,"Barcarena","PA",33.0686314900716,"2019-12"
"6",1501402,"Belém","PA",32.1340112686157,"2019-12"
"7",1501501,"Benevides","PA",33.5485305786133,"2019-12"
"8",1501782,"Breu Branco","PA",33.8463419133967,"2019-12"
"9",1502103,"Cametá","PA",33.7819353739421,"2019-12"
"10",1503093,"Goianésia do Pará","PA",34.420616215673,"2019-12"
"11",1503309,"Igarapé-Miri","PA",34.1512273152669,"2019-12"
"12",1503804,"Jacundá","PA",33.0038946787516,"2019-12"
"13",1504000,"Limoeiro do Ajuru","PA",33.6301803588867,"2019-12"
"14",1504422,"Marituba","PA",33.4372863769531,"2019-12"
"15",1504604,"Mocajuba","PA",33.8881912231445,"2019-12"
"16",1504703,"Moju","PA",34.5401070823132,"2019-12"
"17",1505064,"Novo Repartimento","PA",32.3969959010923,"2019-12"
"18",1505205,"Oeiras do Pará","PA",33.626091003418,"2019-12"
"19",1506351,"Santa Bárbara do Pará","PA",32.8679428100586,"2019-12"
"20",1507953,"Tailândia","PA",34.880857294256,"2019-12"
"21",1508100,"Tucuruí","PA",32.7162585788303,"2019-12"
"22",1500107,"Abaetetuba","PA",34.2019790649414,"2019-11"
"23",1500800,"Ananindeua","PA",33.3005701700846,"2019-11"
"24",1501105,"Bagre","PA",35.2413801305434,"2019-11"
"25",1501204,"Baião","PA",35.7234754562378,"2019-11"
"26",1501303,"Barcarena","PA",33.5515619913737,"2019-11"
"27",1501402,"Belém","PA",32.4983901977539,"2019-11"
"28",1501501,"Benevides","PA",33.5782089233398,"2019-11"
"29",1501782,"Breu Branco","PA",35.8294721661192,"2019-11"
"30",1502103,"Cametá","PA",34.9477678934733,"2019-11"
"31",1503093,"Goianésia do Pará","PA",35.6358292678307,"2019-11"
"32",1503309,"Igarapé-Miri","PA",34.9807235717773,"2019-11"
"33",1503804,"Jacundá","PA",34.5868250528971,"2019-11"
"34",1504000,"Limoeiro do Ajuru","PA",34.2470016479492,"2019-11"
"35",1504422,"Marituba","PA",33.4885787963867,"2019-11"
"36",1504604,"Mocajuba","PA",35.4059295654297,"2019-11"
