"cd_mun","nm_mun","temperature","date"
"1500107","Abaetetuba",30.1433170318604,"2019-12-29"
"1500800","Ananindeua",30.0598595937093,"2019-12-29"
"1501105","Bagre",30.0166281531839,"2019-12-29"
"1501204","Baião",29.67112159729,"2019-12-29"
"1501303","Barcarena",29.7393843332926,"2019-12-29"
"1501402","Belém",29.3711948394775,"2019-12-29"
"1501501","Benevides",30.4838962554932,"2019-12-29"
"1501782","Breu Branco",29.2900499864058,"2019-12-29"
"1502103","Cametá",30.3582948048909,"2019-12-29"
"1503093","Goianésia do Pará",29.1832012965761,"2019-12-29"
"1503309","Igarapé-Miri",30.3147240956624,"2019-12-29"
"1503804","Jacundá",28.3754784901937,"2019-12-29"
"1504000","Limoeiro do Ajuru",29.9013217926025,"2019-12-29"
"1504422","Marituba",30.3326206207275,"2019-12-29"
"1504604","Mocajuba",30.1107654571533,"2019-12-29"
"1504703","Moju",30.2979554458403,"2019-12-29"
"1505064","Novo Repartimento",28.8977437368253,"2019-12-29"
"1505205","Oeiras do Pará",30.1142499106271,"2019-12-29"
"1506351","Santa Bárbara do Pará",29.9940891265869,"2019-12-29"
"1507953","Tailândia",30.3506051843817,"2019-12-29"
"1508100","Tucuruí",28.8067908816867,"2019-12-29"
"1500107","Abaetetuba",32.4072406768799,"2019-12-22"
"1500800","Ananindeua",32.0791250864665,"2019-12-22"
"1501105","Bagre",33.0447257546818,"2019-12-22"
"1501204","Baião",32.8371438980103,"2019-12-22"
"1501303","Barcarena",32.0001001358032,"2019-12-22"
"1501402","Belém",30.7738437652588,"2019-12-22"
"1501501","Benevides",32.358512878418,"2019-12-22"
"1501782","Breu Branco",32.9727587844386,"2019-12-22"
"1502103","Cametá",32.4482409954071,"2019-12-22"
"1503093","Goianésia do Pará",33.3667565707503,"2019-12-22"
"1503309","Igarapé-Miri",32.77555809021,"2019-12-22"
"1503804","Jacundá",31.9735547383626,"2019-12-22"
"1504000","Limoeiro do Ajuru",31.8206941604614,"2019-12-22"
"1504422","Marituba",32.3816680908203,"2019-12-22"
"1504604","Mocajuba",32.8898468017578,"2019-12-22"
"1504703","Moju",33.6355213648836,"2019-12-22"
"1505064","Novo Repartimento",32.116602517725,"2019-12-22"
"1505205","Oeiras do Pará",32.8998358590262,"2019-12-22"
"1506351","Santa Bárbara do Pará",31.4377994537354,"2019-12-22"
"1507953","Tailândia",34.3834438901959,"2019-12-22"
"1508100","Tucuruí",32.1042444441054,"2019-12-22"
"1500107","Abaetetuba",31.8070007324219,"2019-12-15"
"1500800","Ananindeua",31.7512658437093,"2019-12-15"
"1501105","Bagre",32.4326616175034,"2019-12-15"
"1501204","Baião",32.29102820158,"2019-12-15"
"1501303","Barcarena",31.6114797592163,"2019-12-15"
"1501402","Belém",30.9600925445557,"2019-12-15"
"1501501","Benevides",32.0625238418579,"2019-12-15"
"1501782","Breu Branco",32.1500949859619,"2019-12-15"
"1502103","Cametá",31.9311344623566,"2019-12-15"
"1503093","Goianésia do Pará",32.2587897859771,"2019-12-15"
"1503309","Igarapé-Miri",32.1654449462891,"2019-12-15"
"1503804","Jacundá",31.1630273183187,"2019-12-15"
"1504000","Limoeiro do Ajuru",31.4872440338135,"2019-12-15"
"1504422","Marituba",31.9636092185974,"2019-12-15"
"1504604","Mocajuba",32.250408411026,"2019-12-15"
"1504703","Moju",32.8128925377214,"2019-12-15"
"1505064","Novo Repartimento",31.296297879723,"2019-12-15"
"1505205","Oeiras do Pará",32.2869219779968,"2019-12-15"
"1506351","Santa Bárbara do Pará",31.6029148101807,"2019-12-15"
"1507953","Tailândia",33.3270548040217,"2019-12-15"
"1508100","Tucuruí",31.2142514122857,"2019-12-15"
"1500107","Abaetetuba",32.7528671264648,"2019-12-08"
"1500800","Ananindeua",32.2308279673258,"2019-12-08"
"1501105","Bagre",32.8449684591854,"2019-12-08"
"1501204","Baião",32.9087228775024,"2019-12-08"
"1501303","Barcarena",32.4159069061279,"2019-12-08"
"1501402","Belém",31.2576084136963,"2019-12-08"
"1501501","Benevides",32.6655807495117,"2019-12-08"
"1501782","Breu Branco",32.9049349120169,"2019-12-08"
"1502103","Cametá",33.1383463541667,"2019-12-08"
"1503093","Goianésia do Pará",33.2133426008553,"2019-12-08"
"1503309","Igarapé-Miri",33.0998784383138,"2019-12-08"
"1503804","Jacundá",31.9446871439616,"2019-12-08"
"1504000","Limoeiro do Ajuru",32.8514358520508,"2019-12-08"
"1504422","Marituba",32.5465316772461,"2019-12-08"
"1504604","Mocajuba",33.1951522827148,"2019-12-08"
"1504703","Moju",33.6129018219424,"2019-12-08"
"1505064","Novo Repartimento",31.6114523507715,"2019-12-08"
"1505205","Oeiras do Pará",32.9278836931501,"2019-12-08"
"1506351","Santa Bárbara do Pará",31.8948907852173,"2019-12-08"
"1507953","Tailândia",33.9307285655629,"2019-12-08"
"1508100","Tucuruí",32.2013412051731,"2019-12-08"
"1500107","Abaetetuba",33.7570388793945,"2019-12-01"
"1500800","Ananindeua",33.1574020385742,"2019-12-01"
"1501105","Bagre",33.584332185633,"2019-12-01"
"1501204","Baião",33.6905517578125,"2019-12-01"
"1501303","Barcarena",33.0686314900716,"2019-12-01"
"1501402","Belém",32.1340112686157,"2019-12-01"
"1501501","Benevides",33.5485305786133,"2019-12-01"
"1501782","Breu Branco",33.8463419133967,"2019-12-01"
"1502103","Cametá",33.7819353739421,"2019-12-01"
"1503093","Goianésia do Pará",34.420616215673,"2019-12-01"
"1503309","Igarapé-Miri",34.1512273152669,"2019-12-01"
"1503804","Jacundá",33.0038946787516,"2019-12-01"
"1504000","Limoeiro do Ajuru",33.6301803588867,"2019-12-01"
"1504422","Marituba",33.4372863769531,"2019-12-01"
